Country,2015,2016,2017,2018,2019,2020,2021
United States,16.5,16.8,16.8,16.6,16.7,18.8,17.4
Canada,10.7,11.0,10.9,10.9,11.0,23.0,12.3
Germany,11.2,11.2,11.3,11.5,11.7,12.7,12.9
Switzerland,10.8,11.0,11.0,10.8,11.1,11.7,11.8
Belgium,10.8,10.8,10.8,10.9,10.8,11.2,11.0
Austria,10.4,10.4,10.4,10.3,10.5,11.4,12.1
Netherlands,10.3,10.3,10.1,10.0,10.1,11.2,11.3
United Kingdom,9.8,9.7,9.6,9.7,10.0,12.2,12.4
Norway,10.1,10.5,10.2,10.0,10.4,11.2,9.9
Denmark,10.3,10.2,10.1,10.1,10.2,10.6,10.8
Australia,10.2,10.1,10.1,10.1,10.2,10.7,10.6
Spain,9.1,8.9,8.9,9.0,9.1,10.7,10.7
Finland,9.6,9.4,9.1,9.0,9.2,9.6,10.3
Italy,8.9,8.7,8.7,8.7,8.7,9.6,9.4
Slovenia,8.5,8.5,8.2,8.3,8.5,9.4,9.5
Czechia,7.4,7.4,7.4,7.5,7.6,9.2,9.5
Korea,6.6,6.9,7.0,7.5,8.2,8.4,9.3
Israel,7.0,7.1,7.2,7.2,7.2,7.7,7.9
Ireland,7.3,7.5,7.1,6.9,6.7,7.1,6.7
Estonia,6.6,6.7,6.6,6.7,6.8,7.6,7.5
Hungary,6.9,7.0,6.7,6.6,6.3,7.3,7.4
Latvia,5.7,6.1,6.0,6.2,6.6,7.2,9.0
Poland,6.4,6.6,6.6,6.3,6.5,6.5,6.4